VIRGEN DEL SOCORRO;162;-8.81795000;-77.46278000
MONSEÑOR FIDEL OLIVAS ESCUDERO;163;-8.82039000;-77.45656000
LUIS TARAZONA NEGREIROS;165;-8.69487000;-77.43239000
JOSE MARIA ARGUEDAS;166;-8.87220000;-77.43630000
EFRAIN ROCA GAMBINI;169;-8.850482;-77.437748
EUGENIO MORENO ALVAREZ;168;-8.79038449;-77.51794015
HORACIO GONZALES ESCUDERO;167;-8.697293;-77.398795
261;33;-8.706;-77.452
LAS OVEJITAS;170;-8.76877;-77.51202
LOS VALIENTES;171;-8.85576;-77.5323
LAS PALOMITAS;172;-8.90415;-77.44964
LOS PICAFLORES;173;-8.80124;-77.55532
LOS LIRIOS;174;-8.83187125;-77.46849418
LAS FRUTAS;175;-8.80052;-77.4983
LAS MARIPOSITAS;176;-8.65976698;-77.41756976
LOS NEVADOS DE CRUZ JIRCA;177;-8.79978934;-77.51470327
LOS NAVEGADORES;178;-8.90735662;-77.48844713
LOS NEVADOS;179;-8.83709;-77.5056
DIVINO NIÑO;180;-8.70803753;-77.32173175
CAPULLITOS DEL SABER;181;-8.81154738;-77.46502876
SEMILLITAS DEL MAÑANA;182;-8.77268294;-77.50815868
PEQUEÑOS GENIOS;183;-8.59044696;-77.36533105
LOS POLLITOS;184;-8.87623;-77.41301
LOS ARBOLITOS;185;-8.81513;-77.47129
LOS TIGRES;186;-8.61480747;-77.375907
LOS CONEJITOS;187;-8.70112;-77.42789
LOS CLAVELES;188;-8.6948146;-77.38146186
LOS CRISTALES;189;-8.60981754;-77.46239483
LOS OSITOS;190;-8.66223;-77.39709
EL AMANECER;191;-8.63905186;-77.3952055
LAS MAGNOLIAS;192;-8.67218171;-77.41385222
LOS CREATIVOS;193;-8.6893262;-77.43704259
LOS EMPRENDEDORES;194;-8.74548;-77.54082
LOS JILGUEROS;195;-8.66526;-77.38639
LAS SEMILLITAS;196;-8.74608885;-77.36489654
